League;Date;Get;Pay;Value;Confidence
Allflame;2026-09-22;Reflecting Mist;Chaos Orb;1710;High
Allflame;2026-09-22;Divine Orb;Chaos Orb;367.6;High
Allflame;2026-09-22;Fracturing Orb;Chaos Orb;534.9;High
Allflame;2026-09-22;Orb of Conflict;Chaos Orb;422.6;High
Allflame;2026-09-22;Prismatic Catalyst;Chaos Orb;99.23;High
Allflame;2026-09-22;Accelerating Catalyst;Chaos Orb;2.27;High
Allflame;2026-09-22;Tainted Catalyst;Chaos Orb;16.67;High
Allflame;2026-09-22;Orb of Annulment;Chaos Orb;17.98;High
Allflame;2026-09-22;Ancient Orb;Chaos Orb;11.01;High
Allflame;2026-09-22;Unstable Catalyst;Chaos Orb;13.49;High
Allflame;2026-09-22;Stacked Deck;Chaos Orb;6.96;High
Allflame;2026-09-22;Imbued Catalyst;Chaos Orb;1.46;High
Allflame;2026-09-22;Chromatic Orb;Chaos Orb;4.39;High
Allflame;2026-09-22;Enkindling Orb;Chaos Orb;1.54;High
Allflame;2026-09-22;Exalted Orb;Chaos Orb;3.41;High
Allflame;2026-09-22;Scrying Orb;Chaos Orb;3;High
Allflame;2026-09-22;Gemcutter's Prism;Chaos Orb;1.97;High
Allflame;2026-09-22;Intrinsic Catalyst;Chaos Orb;2.8;High
Allflame;2026-09-22;Turbulent Catalyst;Chaos Orb;2.12;High
Allflame;2026-09-22;Abrasive Catalyst;Chaos Orb;2.57;High
Allflame;2026-09-22;Fertile Catalyst;Chaos Orb;35.81;High
Allflame;2026-09-22;Orb of Scouring;Chaos Orb;0.776;High
Allflame;2026-09-22;Orb of Alteration;Chaos Orb;0.2579;High
Allflame;2026-09-22;Orb of Fusing;Chaos Orb;0.09862;High
Allflame;2026-09-22;Armourer's Scrap;Chaos Orb;0.08896;High
Allflame;2026-09-22;Jeweller's Orb;Chaos Orb;0.01416;High
Allflame;2026-09-22;Vivid Crystallised Lifeforce;Chaos Orb;0.1129;High
Allflame;2026-09-22;Dead Man's Sulphur;Chaos Orb;0.007711;High
Allflame;2026-09-22;Primal Crystallised Lifeforce;Chaos Orb;0.0549;High
Allflame;2026-09-22;Wild Crystallised Lifeforce;Chaos Orb;0.02349;High
Allflame;2026-09-22;Reverent Reliquary Key;Chaos Orb;1836;High
Allflame;2026-09-22;Archive Reliquary Key;Chaos Orb;816;High
Allflame;2026-09-22;Syndicate Medallion;Chaos Orb;816;High
Allflame;2026-09-22;Shiny Reliquary Key;Chaos Orb;612;High
Allflame;2026-09-22;Zorath's Eye of the Inevitable;Chaos Orb;612;High
Allflame;2026-09-22;Voidborn Reliquary Key;Chaos Orb;469.2;High
Allflame;2026-09-22;Forgotten Reliquary Key;Chaos Orb;385;High
Allflame;2026-09-22;Oubliette Reliquary Key;Chaos Orb;204;High
Allflame;2026-09-22;Valdo's Puzzle Box;Chaos Orb;204;High
Allflame;2026-09-22;Gift to the Goddess;Chaos Orb;35;High
Allflame;2026-09-22;An Audience With The King;Chaos Orb;24.5;High
Allflame;2026-09-22;Timeless Templar Splinter;Chaos Orb;22;High
Allflame;2026-09-22;Simulacrum;Chaos Orb;20.5;High
Allflame;2026-09-22;Mortal Grief;Chaos Orb;11;High
Allflame;2026-09-22;Message in a Bottle;Chaos Orb;8.5;High
Allflame;2026-09-22;Timeless Eternal Empire Splinter;Chaos Orb;6;High
Allflame;2026-09-22;Zorath's Eye of Authority;Chaos Orb;4;High
Allflame;2026-09-22;Zorath's Eye of Malevolence;Chaos Orb;3;High
Allflame;2026-09-22;Timeless Vaal Splinter;Chaos Orb;2.8;High
Allflame;2026-09-22;Simulacrum Splinter;Chaos Orb;2;High
Allflame;2026-09-22;Sacrifice at Noon;Chaos Orb;1.79;High
Allflame;2026-09-22;Offering to the Goddess;Chaos Orb;1;High
Allflame;2026-09-22;Divine Vessel;Chaos Orb;1;High
Allflame;2026-09-22;Blessed Orb;Chaos Orb;0.06204;High
Allflame;2026-09-22;Orb of Alchemy;Chaos Orb;0.02123;High
Allflame;2026-09-22;Orb of Augmentation;Chaos Orb;0.04768;High
Allflame;2026-09-22;Awakener's Orb;Chaos Orb;998.9;High
