League;Date;Id;Type;Name;BaseType;Variant;Links;Value;Confidence
Allflame;2026-09-22;1;DivinationCard;Arrogance of the Vaal;;;;5.09;High
Allflame;2026-09-22;2;DivinationCard;Atziri's Arsenal;;;;10;High
Allflame;2026-09-22;3;DivinationCard;Baited Expectations;;;;16.05;High
Allflame;2026-09-22;4;DivinationCard;Brush, Paint and Palette;;;;6;High
Allflame;2026-09-22;5;DivinationCard;Acclimatisation;;;;1;High
Allflame;2026-09-22;6;DivinationCard;A Fate Worse Than Death;;;;20;High
Allflame;2026-09-22;7;DivinationCard;Altered Perception;;;;75;High
Allflame;2026-09-22;8;DivinationCard;A Modest Request;;;;20;High
Allflame;2026-09-22;9;DivinationCard;A Stone Perfected;;;;14;High
Allflame;2026-09-22;10;DivinationCard;Avian Pursuit;;;;33.33;High
Allflame;2026-09-22;11;DivinationCard;Azyran's Reward;;;;4.17;High
Allflame;2026-09-22;12;DivinationCard;Bound by Flame;;;;3;High
Allflame;2026-09-22;13;DivinationCard;Checkmate;;;;6;High
Allflame;2026-09-22;14;DivinationCard;Darker Half;;;;52.21;High
Allflame;2026-09-22;15;DivinationCard;Dementophobia;;;;13.23;High
Allflame;2026-09-22;16;DivinationCard;Demigod's Wager;;;;1;High
Allflame;2026-09-22;17;DivinationCard;Dialla's Subjugation;;;;13;High
Allflame;2026-09-22;18;DivinationCard;Doryani's Epiphany;;;;45.24;High
Allflame;2026-09-22;19;DivinationCard;Dying Anguish;;;;1.19;High
Allflame;2026-09-22;20;DivinationCard;Eldritch Perfection;;;;13;High
Allflame;2026-09-22;21;DivinationCard;Eternal Bonds;;;;12;High
Allflame;2026-09-22;22;DivinationCard;Gemcutter's Mercy;;;;45.88;High
Allflame;2026-09-22;23;DivinationCard;Gift of Asenath;;;;1;High
Allflame;2026-09-22;24;DivinationCard;Harmony of Souls;;;;10;High
Allflame;2026-09-22;25;DivinationCard;Jack in the Box;;;;0.8;High
Allflame;2026-09-22;26;DivinationCard;Justified Ambition;;;;2;High
Allflame;2026-09-22;27;DivinationCard;Lingering Remnants;;;;4.33;High
Allflame;2026-09-22;28;DivinationCard;Love Through Ice;;;;1307;High
Allflame;2026-09-22;29;DivinationCard;Man With Bear;;;;1;High
Allflame;2026-09-22;30;DivinationCard;Mitts;;;;0.3333;High
Allflame;2026-09-22;31;DivinationCard;One Last Score;;;;857.8;High
Allflame;2026-09-22;32;DivinationCard;Prejudice;;;;1;High
Allflame;2026-09-22;33;DivinationCard;Reckless Ambition;;;;3;High
Allflame;2026-09-22;34;DivinationCard;Runic Luck;;;;5;High
Allflame;2026-09-22;35;DivinationCard;Sambodhi's Wisdom;;;;9;High
Allflame;2026-09-22;36;DivinationCard;The Artist;;;;41.41;High
Allflame;2026-09-22;37;DivinationCard;The Aspirant;;;;21;High
Allflame;2026-09-22;38;DivinationCard;The Avenger;;;;120;High
Allflame;2026-09-22;39;DivinationCard;The Card Sharp;;;;3;High
Allflame;2026-09-22;40;DivinationCard;The Catch;;;;4;High
Allflame;2026-09-22;41;DivinationCard;The Chains that Bind;;;;0.4348;High
Allflame;2026-09-22;42;DivinationCard;The Chosen;;;;447.5;High
Allflame;2026-09-22;43;DivinationCard;The Doctor;;;;390.6;High
Allflame;2026-09-22;44;DivinationCard;The Eldritch Decay;;;;10;High
Allflame;2026-09-22;45;DivinationCard;The Endless Darkness;;;;42;High
Allflame;2026-09-22;46;DivinationCard;The Endurance;;;;3.7;High
Allflame;2026-09-22;47;DivinationCard;The Enforcer;;;;70;High
Allflame;2026-09-22;48;DivinationCard;The Enlightened;;;;111.5;High
Allflame;2026-09-22;49;DivinationCard;The Enthusiasts;;;;9.5;High
Allflame;2026-09-22;50;DivinationCard;The Feast;;;;14;High
Allflame;2026-09-22;51;DivinationCard;The Fiend;;;;367.6;High
Allflame;2026-09-22;52;DivinationCard;The Forbidden Fruit;;;;85.22;High
Allflame;2026-09-22;53;DivinationCard;The Forgotten Treasure;;;;6;High
Allflame;2026-09-22;54;DivinationCard;The Formless Sea;;;;10;High
Allflame;2026-09-22;55;DivinationCard;The Fortunate;;;;58.53;High
Allflame;2026-09-22;56;DivinationCard;The Fox;;;;0.2;High
Allflame;2026-09-22;57;DivinationCard;The Gambler;;;;1.67;High
Allflame;2026-09-22;58;DivinationCard;The Heroic Shot;;;;21.33;High
Allflame;2026-09-22;59;DivinationCard;The Last Supper;;;;27;High
Allflame;2026-09-22;60;DivinationCard;The Leviathan;;;;40;High
Allflame;2026-09-22;61;DivinationCard;The Mad King;;;;120;High
Allflame;2026-09-22;62;DivinationCard;The One With All;;;;2.12;High
Allflame;2026-09-22;63;DivinationCard;The Price of Loyalty;;;;93.67;High
Allflame;2026-09-22;64;DivinationCard;The Price of Protection;;;;1.32;High
Allflame;2026-09-22;65;DivinationCard;The Primordial;;;;5;High
Allflame;2026-09-22;66;DivinationCard;The Prince of Darkness;;;;23.86;High
Allflame;2026-09-22;67;DivinationCard;The Seeker;;;;3;High
Allflame;2026-09-22;68;DivinationCard;The Shepherd's Sandals;;;;1.5;High
Allflame;2026-09-22;69;DivinationCard;The Side Quest;;;;50;High
Allflame;2026-09-22;70;DivinationCard;The Silly Boy;;;;54.92;High
Allflame;2026-09-22;71;DivinationCard;The Soul;;;;1208;High
Allflame;2026-09-22;72;DivinationCard;The Thaumaturgist;;;;10.75;High
Allflame;2026-09-22;73;DivinationCard;The Tireless Extractor;;;;1;High
Allflame;2026-09-22;74;DivinationCard;The Tower;;;;1;High
Allflame;2026-09-22;75;DivinationCard;The Vast;;;;26;High
Allflame;2026-09-22;76;DivinationCard;The Void;;;;7.71;High
Allflame;2026-09-22;77;DivinationCard;The Wrath;;;;1;High
Allflame;2026-09-22;78;DivinationCard;Tranquillity;;;;27;High
Allflame;2026-09-22;79;DivinationCard;Unchained;;;;5;High
Allflame;2026-09-22;80;DivinationCard;Wealth and Power;;;;441.1;High
Allflame;2026-09-22;81;DivinationCard;Chaotic Disposition;;;;4.49;High
Allflame;2026-09-22;82;DivinationCard;Choking Guilt;;;;4411;High
Allflame;2026-09-22;83;DivinationCard;Costly Curio;;;;21;High
Allflame;2026-09-22;84;DivinationCard;Disdain;;;;2;High
Allflame;2026-09-22;85;DivinationCard;Apocalypse;;;;1225;High
Allflame;2026-09-22;86;DivinationCard;Divine Beauty;;;;200;High
Allflame;2026-09-22;87;DivinationCard;Brother's Gift;;;;1654;High
Allflame;2026-09-22;88;DivinationCard;Damnation;;;;24890;High
Allflame;2026-09-22;89;DivinationCard;Desecrated Virtue;;;;1103;High
Allflame;2026-09-22;90;DivinationCard;Divine Justice;;;;4345;High
Allflame;2026-09-22;91;DivinationCard;Fire Of Unknown Origin;;;;5882;High
Allflame;2026-09-22;92;DivinationCard;House of Mirrors;;;;61728;High
Allflame;2026-09-22;93;DivinationCard;Luminous Trove;;;;735.2;High
Allflame;2026-09-22;94;DivinationCard;Merciless Armament;;;;122539;High
Allflame;2026-09-22;95;DivinationCard;The Insane Cat;;;;4469;High
Allflame;2026-09-22;96;DivinationCard;The Miracle;;;;13969;High
Allflame;2026-09-22;97;DivinationCard;Emperor's Luck;;;;0.9993;High
Allflame;2026-09-22;98;DivinationCard;Ever-Changing;;;;1;High
Allflame;2026-09-22;99;DivinationCard;History;;;;35935;High
Allflame;2026-09-22;100;DivinationCard;Home;;;;116.6;High
Allflame;2026-09-22;101;DivinationCard;Humility;;;;1;High
Allflame;2026-09-22;102;DivinationCard;Hunter's Reward;;;;17.13;High
Allflame;2026-09-22;103;DivinationCard;Imperfect Memories;;;;45;High
